,Genus,Order,Family,MassSource,Massg,LogMass,LargeSmall,Diet,DietSource
299,Parahyaena,Carnivora,Hyaenidae,Phylacine,32200.3,4.507859918,Large,Non-Herbivore,Phylacine
300,Paralactaga,Rodentia,Dipodidae,Family average,51.18235294,1.709120247,Small,Herbivore,Phylacine
301,Paramachaerodus,Carnivora,Felidae,Family average,52902.55652,4.72347666,Large,Non-Herbivore,GroupAv
302,Parameles,Carnivora,Mustelidae,Family average,4714.521875,3.673437655,Large,Non-Herbivore,Phylacine
303,Parapodemus,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Non-Herbivore,comparable to Apodemus
304,Paulamys,Rodentia,Muridae,Phylacine,123,2.089905111,Small,Non-Herbivore,Phylacine
305,Pelorovis,Cetartiodactyla,Bovidae,Phylacine,1e+06,6,Large,Herbivore,Phylacine
306,Petaurista,Rodentia,Sciuridae,Phylacine,1927.47,3.284987627,Large,Herbivore,Phylacine
307,Petenyia,Eulipotyphla,Soricidae,Family average,11.45526992,1.059005327,Small,Non-Herbivore,comparable to Sorex
308,Phanourios,Cetartiodactyla,Hippopotamidae,Phylacine,2e+05,5.301029996,Large,Herbivore,Phylacine
309,Phodopus,Rodentia,Cricetidae,Phylacine,25.33333333,1.403692338,Small,Herbivore,Phylacine
310,Pipistrellus,Chiroptera,Vespertilionidae,Phylacine,5.488095238,0.739421639,Small,Non-Herbivore,Phylacine
311,Plecotus,Chiroptera,Vespertilionidae,Phylacine,7.827272727,0.893610466,Small,Non-Herbivore,Phylacine
312,Plesiaceratherium,Perissodactyla,Rhinocerotidae,Cooke,699842,5.845000002,Large,Herbivore,GroupAv
313,Plesiohipparion,Perissodactyla,Equidae,Cooke,214783.0483,5.332000002,Large,Herbivore,Phylacine
314,Pliocrocuta,Carnivora,Hyaenidae,Cooke,79432.82382,4.900000002,Large,Non-Herbivore,GroupAv
315,Pliolagomys,Lagomorpha,Ochotonidae,Family average,183.6066667,2.263888446,Small,Herbivore,Phylacine
316,Pliolagus,Lagomorpha,Leporidae,Family average,2069.12381,3.315786478,Large,Herbivore,Phylacine
317,Pliomys,Rodentia,Cricetidae,Phylacine,62.5,1.795880017,Small,Herbivore,Phylacine
318,Pliopetaurista,Rodentia,Sciuridae,Family average,618.4478571,2.791303089,Small,Herbivore,Phylacine
319,Plioscirtopoda,Rodentia,Dipodidae,Family average,51.18235294,1.709120247,Small,Herbivore,Phylacine
320,Pliosiphneus,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,NA,NA
321,Pliospalax,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
322,Pliotragus,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
323,Poephagus,Artiodactyla,Bovidae,NOW,525000,5.720159303,Large,Herbivore,GroupAv
324,Pongo,Primates,Hominidae,Phylacine,56950,4.755493728,Large,NA,NA
325,Pontoceros,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
326,Postschizotherium,Hyracoidea,Pliohyracidae,Family average,70000,4.84509804,Large,Herbivore,Phylacine
327,Potamochoerus,Cetartiodactyla,Suidae,Cooke,55854.27221,4.747056397,Large,Non-Herbivore,Phylacine
328,Praemegaceros,Cetartiodactyla,Cervidae,Phylacine,70000,4.84509804,Large,Herbivore,Phylacine
329,Praeovibos,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
330,Predicrostonyx,Rodentia,Muridae,Cooke,218.1101041,2.338675785,Small,Herbivore,Phylacine
331,Presbytis,Primates,Cercopithecidae,Phylacine,6405.454545,3.806549954,Large,Herbivore,Phylacine
332,Prionailurus,Carnivora,Felidae,Phylacine,5143.675,3.71127352,Large,Non-Herbivore,Phylacine
333,Prionodon,Carnivora,Prionodontidae,Phylacine,606,2.782472624,Small,Non-Herbivore,Phylacine
334,Proboscidipparion,Perissodactyla,Equidae,Cooke,205116.2171,5.311999998,Large,Herbivore,Phylacine
335,Proboselaphus,Artiodactyla,Bovidae,Family average,131331.4124,5.118368615,Large,Herbivore,Phylacine
336,Procamptoceras,Artiodactyla,Bovidae,Cooke,107894.6719,5.032999999,Large,Herbivore,Phylacine
337,Procapra,Cetartiodactyla,Bovidae,Phylacine,25083.33333,4.399385249,Large,Herbivore,Phylacine
338,Procapreolus,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,Herbivore,Phylacine
339,Procynocephalus,Primates,Cercopithecidae,Family average,8486.364179,3.928721665,Large,Herbivore,Phylacine
340,Prolagurus,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
341,Prolagus,Lagomorpha,Prolagidae,Phylacine,350,2.544068044,Small,Herbivore,Phylacine
342,Prometheomys,Rodentia,Cricetidae,Phylacine,75,1.875061263,Small,Herbivore,Phylacine
343,Promimomys,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
344,Proochotona,Lagomorpha,Ochotonidae,Family average,183.6066667,2.263888446,Small,Herbivore,Phylacine
345,Propotamochoerus,Artiodactyla,Suidae,Cooke,147611.7784,5.169121013,Large,Non-Herbivore,GroupAv
346,Prosiphneus,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
347,Prospalax,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
348,Protoryx,Artiodactyla,Bovidae,Cooke,84963.8221,4.929234041,Large,Herbivore,Phylacine
349,Pseudaxis,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,Herbivore,Phylacine
350,Pseudodama,Artiodactyla,Cervidae,Family average,106166.5584,5.025987739,Large,Herbivore,Phylacine
351,Pseudois,Cetartiodactyla,Bovidae,MOM,37125,4.569666462,Large,Herbivore,Phylacine
352,Pseudomeriones,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
353,Pteromys,Rodentia,Sciuridae,Phylacine,147.8,2.169674434,Small,Herbivore,Phylacine
354,Pteropus,Chiroptera,Pteropodidae,Phylacine,407.9359375,2.610591967,Small,Herbivore,Phylacine
355,Puma,Carnivora,Felidae,Phylacine,51600,4.712649702,Large,Non-Herbivore,Phylacine
356,Pygathrix,Primates,Cercopithecidae,Phylacine,8310,3.919601024,Large,Herbivore,Phylacine
357,Pygeretmus,Rodentia,Dipodidae,Phylacine,44.96666667,1.652890695,Small,Herbivore,Phylacine
358,Quyania,Eulipotyphla,Talpidae,Cooke,10.40300303,1.017158725,Small,Non-Herbivore,GroupAv
359,Rangifer,Cetartiodactyla,Cervidae,Phylacine,86034,4.934670115,Large,Herbivore,Phylacine
360,Rattus,Rodentia,Muridae,Phylacine,171.0164179,2.233037805,Small,Herbivore,Phylacine
361,Ratufa,Rodentia,Sciuridae,Phylacine,1398.35,3.145615887,Small,Herbivore,Phylacine
362,Rhagamys,Rodentia,Muridae,Phylacine,30.6,1.485721426,Small,Herbivore,Phylacine
363,Rhagapodemus,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
364,Rheithrosciurus,Rodentia,Sciuridae,Phylacine,1225,3.088136089,Small,NA,NA
365,Rhinoceros,Perissodactyla,Rhinocerotidae,Phylacine,1676166.5,6.224317157,Large,Herbivore,Phylacine
366,Rhinolophus,Chiroptera,Rhinolophidae,Phylacine,11.71081081,1.068586965,Small,Non-Herbivore,Phylacine
367,Rhinopithecus,Primates,Cercopithecidae,Phylacine,10567,4.023951707,Large,Herbivore,Phylacine
368,Rhizomyides,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
369,Rhizomys,Rodentia,Spalacidae,Phylacine,1646.666667,3.216605694,Small,Herbivore,Phylacine
370,Rupicapra,Cetartiodactyla,Bovidae,Phylacine,28050,4.447932866,Large,Herbivore,Phylacine
371,Rusa,Cetartiodactyla,Cervidae,Phylacine,85211.1,4.930496172,Large,Herbivore,Phylacine
372,Saidomys,Rodentia,Muridae,Family average,134.3146939,2.128123527,Small,Herbivore,Phylacine
373,Saiga,Cetartiodactyla,Bovidae,MOM,39500,4.596597096,Large,Herbivore,Phylacine
374,Sardolutra,Carnivora,Mustelidae,Family average,4714.521875,3.673437655,Large,Non-Herbivore,Willemsen 1992
375,Scalopoides,Eulipotyphla,Talpidae,Cooke,29.82619397,1.474597838,Small,Non-Herbivore,GroupAv
376,Scaptochirus,Eulipotyphla,Talpidae,Phylacine,90.5,1.956648579,Small,Non-Herbivore,Phylacine
377,Scaptonyx,Eulipotyphla,Talpidae,Phylacine,12,1.079181246,Small,Non-Herbivore,Phylacine
378,Scirtopoda,Rodentia,Dipodidae,Family average,51.18235294,1.709120247,Small,Herbivore,Phylacine
379,Sciurotamias,Rodentia,Sciuridae,Phylacine,433.5,2.636989102,Small,Herbivore,Phylacine
